timestamp,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_percent,process_count,network_io,load_average
2026-04-14T16:10:45.934936,11.1,83.3,13.082542419433594,15.698810577392578,68.2,390,"{'bytes_sent': 122189692, 'bytes_recv': 7411010, 'packets_sent': 62196, 'packets_recv': 33260, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.06, 0.02, 0.01)"
2026-04-14T16:10:47.077800,15.7,83.3,13.084892272949219,15.698810577392578,68.2,390,"{'bytes_sent': 122189802, 'bytes_recv': 7411010, 'packets_sent': 62197, 'packets_recv': 33260, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.06, 0.02, 0.01)"
2026-04-14T16:10:48.279832,16.7,83.4,13.092716217041016,15.698810577392578,68.2,390,"{'bytes_sent': 122189912, 'bytes_recv': 7411320, 'packets_sent': 62199, 'packets_recv': 33265, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.1, 0.23, 0.08)"
2026-04-14T16:10:49.613489,20.5,83.4,13.087699890136719,15.698810577392578,68.2,389,"{'bytes_sent': 122189998, 'bytes_recv': 7411320, 'packets_sent': 62200, 'packets_recv': 33265, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.1, 0.23, 0.08)"
2026-04-14T16:10:50.749328,16.1,83.3,13.081390380859375,15.698810577392578,68.2,389,"{'bytes_sent': 122189998, 'bytes_recv': 7416862, 'packets_sent': 62200, 'packets_recv': 33283, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.1, 0.23, 0.08)"
2026-04-14T16:10:51.894936,28.3,83.3,13.081531524658203,15.698810577392578,68.2,389,"{'bytes_sent': 122189998, 'bytes_recv': 7416862, 'packets_sent': 62200, 'packets_recv': 33283, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.1, 0.23, 0.08)"
2026-04-14T16:10:53.041175,20.8,83.6,13.131401062011719,15.698810577392578,68.2,395,"{'bytes_sent': 122190053, 'bytes_recv': 7416928, 'packets_sent': 62201, 'packets_recv': 33284, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.1, 0.23, 0.08)"
2026-04-14T16:10:54.181622,22.8,83.6,13.121204376220703,15.698810577392578,68.2,393,"{'bytes_sent': 122190053, 'bytes_recv': 7416928, 'packets_sent': 62201, 'packets_recv': 33284, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.01, 0.23, 0.08)"
2026-04-14T16:10:55.319890,25.2,83.4,13.090274810791016,15.698810577392578,68.2,389,"{'bytes_sent': 122190053, 'bytes_recv': 7417916, 'packets_sent': 62201, 'packets_recv': 33286, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.01, 0.23, 0.08)"
2026-04-14T16:10:56.880420,19.6,83.3,13.083255767822266,15.698810577392578,68.2,389,"{'bytes_sent': 122190053, 'bytes_recv': 7418338, 'packets_sent': 62201, 'packets_recv': 33288, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.01, 0.23, 0.08)"
2026-04-14T16:10:58.015632,23.8,83.4,13.086540222167969,15.698810577392578,68.2,389,"{'bytes_sent': 122199733, 'bytes_recv': 7428037, 'packets_sent': 62218, 'packets_recv': 33306, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.01, 0.23, 0.08)"
2026-04-14T16:10:59.163273,27.1,83.5,13.101085662841797,15.698810577392578,68.2,389,"{'bytes_sent': 122199733, 'bytes_recv': 7428248, 'packets_sent': 62218, 'packets_recv': 33307, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.93, 0.22, 0.08)"
2026-04-14T16:11:00.299531,10.7,83.5,13.111133575439453,15.698810577392578,68.2,389,"{'bytes_sent': 122199788, 'bytes_recv': 7428314, 'packets_sent': 62219, 'packets_recv': 33308, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.93, 0.22, 0.08)"
2026-04-14T16:11:01.439282,11.0,83.5,13.107738494873047,15.698810577392578,68.2,389,"{'bytes_sent': 122199788, 'bytes_recv': 7428314, 'packets_sent': 62219, 'packets_recv': 33308, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.93, 0.22, 0.08)"
2026-04-14T16:11:02.577331,48.2,83.8,13.160869598388672,15.698810577392578,68.2,395,"{'bytes_sent': 122199788, 'bytes_recv': 7428314, 'packets_sent': 62219, 'packets_recv': 33308, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.93, 0.22, 0.08)"
2026-04-14T16:11:03.714476,9.8,83.9,13.165245056152344,15.698810577392578,68.2,395,"{'bytes_sent': 122199885, 'bytes_recv': 7428422, 'packets_sent': 62221, 'packets_recv': 33310, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.85, 0.22, 0.08)"
2026-04-14T16:11:04.843173,13.5,83.8,13.149349212646484,15.698810577392578,68.2,395,"{'bytes_sent': 122199940, 'bytes_recv': 7428488, 'packets_sent': 62222, 'packets_recv': 33311, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.85, 0.22, 0.08)"
2026-04-14T16:11:05.974458,21.4,83.6,13.130359649658203,15.698810577392578,68.2,389,"{'bytes_sent': 122199995, 'bytes_recv': 7434030, 'packets_sent': 62223, 'packets_recv': 33329, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.85, 0.22, 0.08)"
2026-04-14T16:11:07.101770,16.1,83.6,13.12343978881836,15.698810577392578,68.2,389,"{'bytes_sent': 122200105, 'bytes_recv': 7434162, 'packets_sent': 62225, 'packets_recv': 33331, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.85, 0.22, 0.08)"
2026-04-14T16:11:08.242172,10.7,83.6,13.123458862304688,15.698810577392578,68.2,389,"{'bytes_sent': 122200270, 'bytes_recv': 7434360, 'packets_sent': 62228, 'packets_recv': 33334, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.79, 0.22, 0.08)"
2026-04-14T16:11:09.368053,16.2,83.6,13.120014190673828,15.698810577392578,68.2,389,"{'bytes_sent': 122200325, 'bytes_recv': 7434360, 'packets_sent': 62229, 'packets_recv': 33334, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.79, 0.22, 0.08)"
2026-04-14T16:11:10.526859,9.6,83.6,13.12127685546875,15.698810577392578,68.2,389,"{'bytes_sent': 122200325, 'bytes_recv': 7434402, 'packets_sent': 62229, 'packets_recv': 33335, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.79, 0.22, 0.08)"
2026-04-14T16:11:11.656448,11.3,83.6,13.124732971191406,15.698810577392578,68.2,389,"{'bytes_sent': 122200325, 'bytes_recv': 7434444, 'packets_sent': 62229, 'packets_recv': 33336, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.79, 0.22, 0.08)"
2026-04-14T16:11:12.792258,27.4,83.9,13.170722961425781,15.698810577392578,68.2,395,"{'bytes_sent': 122200325, 'bytes_recv': 7434486, 'packets_sent': 62229, 'packets_recv': 33337, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.79, 0.22, 0.08)"
2026-04-14T16:11:13.953232,10.8,83.9,13.164360046386719,15.698810577392578,68.2,395,"{'bytes_sent': 122200325, 'bytes_recv': 7434528, 'packets_sent': 62229, 'packets_recv': 33338, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.04, 0.28, 0.1)"
2026-04-14T16:11:15.100384,19.8,83.7,13.140727996826172,15.698810577392578,68.2,389,"{'bytes_sent': 122200380, 'bytes_recv': 7434594, 'packets_sent': 62230, 'packets_recv': 33339, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.04, 0.28, 0.1)"
2026-04-14T16:11:16.247209,20.5,83.7,13.139091491699219,15.698810577392578,68.2,389,"{'bytes_sent': 122200572, 'bytes_recv': 7434875, 'packets_sent': 62232, 'packets_recv': 33343, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.04, 0.28, 0.1)"
2026-04-14T16:11:17.384248,15.8,83.7,13.136112213134766,15.698810577392578,68.2,389,"{'bytes_sent': 122200726, 'bytes_recv': 7434995, 'packets_sent': 62234, 'packets_recv': 33345, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.04, 0.28, 0.1)"
2026-04-14T16:11:18.530939,12.6,83.7,13.137561798095703,15.698810577392578,68.2,389,"{'bytes_sent': 122202513, 'bytes_recv': 7501040, 'packets_sent': 62253, 'packets_recv': 33409, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.96, 0.27, 0.1)"
2026-04-14T16:11:19.678479,18.8,83.7,13.145423889160156,15.698810577392578,68.2,389,"{'bytes_sent': 122202513, 'bytes_recv': 7502345, 'packets_sent': 62253, 'packets_recv': 33419, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.96, 0.27, 0.1)"
2026-04-14T16:11:20.807322,21.8,83.7,13.139362335205078,15.698810577392578,68.2,389,"{'bytes_sent': 122202513, 'bytes_recv': 7507887, 'packets_sent': 62253, 'packets_recv': 33437, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.96, 0.27, 0.1)"
2026-04-14T16:11:21.951492,20.0,83.7,13.134109497070312,15.698810577392578,68.2,389,"{'bytes_sent': 122202513, 'bytes_recv': 7508163, 'packets_sent': 62253, 'packets_recv': 33440, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.96, 0.27, 0.1)"
2026-04-14T16:11:23.081143,15.6,84.0,13.18505859375,15.698810577392578,68.2,395,"{'bytes_sent': 122202568, 'bytes_recv': 7508271, 'packets_sent': 62254, 'packets_recv': 33442, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.96, 0.27, 0.1)"
2026-04-14T16:11:24.213847,17.9,84.0,13.182426452636719,15.698810577392578,68.2,395,"{'bytes_sent': 122205801, 'bytes_recv': 7512579, 'packets_sent': 62263, 'packets_recv': 33456, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.88, 0.27, 0.1)"
2026-04-14T16:11:25.342407,22.4,83.7,13.139434814453125,15.698810577392578,68.2,389,"{'bytes_sent': 122206085, 'bytes_recv': 7512851, 'packets_sent': 62267, 'packets_recv': 33460, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.88, 0.27, 0.1)"
2026-04-14T16:11:26.480245,13.6,83.7,13.137714385986328,15.698810577392578,68.2,389,"{'bytes_sent': 122206372, 'bytes_recv': 7514781, 'packets_sent': 62271, 'packets_recv': 33466, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.88, 0.27, 0.1)"
2026-04-14T16:11:27.627641,13.5,83.7,13.141002655029297,15.698810577392578,68.2,389,"{'bytes_sent': 122213857, 'bytes_recv': 7522121, 'packets_sent': 62291, 'packets_recv': 33483, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.88, 0.27, 0.1)"
2026-04-14T16:11:28.765003,20.2,83.7,13.137981414794922,15.698810577392578,68.2,389,"{'bytes_sent': 122214038, 'bytes_recv': 7522189, 'packets_sent': 62293, 'packets_recv': 33484, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.81, 0.26, 0.1)"
2026-04-14T16:11:29.897523,23.9,83.7,13.139530181884766,15.698810577392578,68.2,389,"{'bytes_sent': 122214093, 'bytes_recv': 7522334, 'packets_sent': 62294, 'packets_recv': 33486, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.81, 0.26, 0.1)"
2026-04-14T16:11:31.029364,15.5,83.7,13.14358901977539,15.698810577392578,68.2,389,"{'bytes_sent': 122214203, 'bytes_recv': 7522413, 'packets_sent': 62295, 'packets_recv': 33487, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.81, 0.26, 0.1)"
2026-04-14T16:11:32.161540,43.9,84.8,13.312519073486328,15.698810577392578,68.2,415,"{'bytes_sent': 122214384, 'bytes_recv': 7522560, 'packets_sent': 62297, 'packets_recv': 33489, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.81, 0.26, 0.1)"
2026-04-14T16:11:33.319178,18.5,84.1,13.198165893554688,15.698810577392578,68.2,395,"{'bytes_sent': 122214549, 'bytes_recv': 7522705, 'packets_sent': 62299, 'packets_recv': 33491, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.91, 0.29, 0.11)"
2026-04-14T16:11:34.458768,15.6,84.2,13.211395263671875,15.698810577392578,68.2,393,"{'bytes_sent': 122214620, 'bytes_recv': 7522851, 'packets_sent': 62300, 'packets_recv': 33493, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.91, 0.29, 0.11)"
2026-04-14T16:11:35.584447,16.5,83.9,13.172401428222656,15.698810577392578,68.2,389,"{'bytes_sent': 122214730, 'bytes_recv': 7528472, 'packets_sent': 62301, 'packets_recv': 33512, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.91, 0.29, 0.11)"
2026-04-14T16:11:36.718578,20.0,83.9,13.173934936523438,15.698810577392578,68.2,389,"{'bytes_sent': 122216252, 'bytes_recv': 7529437, 'packets_sent': 62309, 'packets_recv': 33519, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.91, 0.29, 0.11)"
2026-04-14T16:11:37.847525,17.6,83.9,13.1669921875,15.698810577392578,68.2,389,"{'bytes_sent': 122216417, 'bytes_recv': 7529503, 'packets_sent': 62311, 'packets_recv': 33520, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.91, 0.29, 0.11)"
2026-04-14T16:11:38.962559,18.5,83.4,13.090690612792969,15.698810577392578,68.2,389,"{'bytes_sent': 122216459, 'bytes_recv': 7529643, 'packets_sent': 62312, 'packets_recv': 33522, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.07, 0.34, 0.12)"
2026-04-14T16:11:40.088425,9.5,83.4,13.085636138916016,15.698810577392578,68.2,389,"{'bytes_sent': 122216711, 'bytes_recv': 7529878, 'packets_sent': 62315, 'packets_recv': 33525, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.07, 0.34, 0.12)"
2026-04-14T16:11:41.223389,8.4,83.2,13.05392837524414,15.698810577392578,68.2,389,"{'bytes_sent': 122216821, 'bytes_recv': 7529878, 'packets_sent': 62316, 'packets_recv': 33525, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.07, 0.34, 0.12)"
2026-04-14T16:11:42.345747,93.0,84.8,13.318950653076172,15.698810577392578,68.2,416,"{'bytes_sent': 122216821, 'bytes_recv': 7529878, 'packets_sent': 62316, 'packets_recv': 33525, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(1.07, 0.34, 0.12)"
2026-04-14T16:11:43.499092,26.4,83.4,13.095882415771484,15.698810577392578,68.2,395,"{'bytes_sent': 122216876, 'bytes_recv': 7530138, 'packets_sent': 62317, 'packets_recv': 33529, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.99, 0.33, 0.12)"
2026-04-14T16:11:44.639134,17.4,83.4,13.088546752929688,15.698810577392578,68.2,395,"{'bytes_sent': 122217148, 'bytes_recv': 7530483, 'packets_sent': 62321, 'packets_recv': 33534, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.99, 0.33, 0.12)"
2026-04-14T16:11:45.806809,17.9,83.2,13.05746841430664,15.698810577392578,68.2,389,"{'bytes_sent': 122217637, 'bytes_recv': 7530999, 'packets_sent': 62328, 'packets_recv': 33542, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.99, 0.33, 0.12)"
2026-04-14T16:11:46.935135,14.8,83.2,13.062370300292969,15.698810577392578,68.2,389,"{'bytes_sent': 122217850, 'bytes_recv': 7531317, 'packets_sent': 62331, 'packets_recv': 33547, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.99, 0.33, 0.12)"
2026-04-14T16:11:48.056586,8.8,83.3,13.073860168457031,15.698810577392578,68.2,389,"{'bytes_sent': 122217976, 'bytes_recv': 7531449, 'packets_sent': 62333, 'packets_recv': 33549, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.99, 0.33, 0.12)"
2026-04-14T16:11:49.179266,17.9,83.6,13.132022857666016,15.698810577392578,68.2,389,"{'bytes_sent': 122221112, 'bytes_recv': 7535248, 'packets_sent': 62341, 'packets_recv': 33560, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.91, 0.33, 0.12)"
